question,options,concat,district,region_name,region_area,district_area,russia_area,region_id,region_name_latin,question_eng,concat_eng
Дальневосточный федеральный округ (1/2),0,Дальневосточный федеральный округ (1/2)0,Дальневосточный федеральный округ,Амурская область,361908,6952555,17098265,81,Amur Oblast,Far Eastern Federal District (1/2),Far Eastern Federal District (1/2)0
Дальневосточный федеральный округ (1/2),1,Дальневосточный федеральный округ (1/2)1,Дальневосточный федеральный округ,Еврейская автономная область,36271,6952555,17098265,80,Jewish Autonomous Oblast,Far Eastern Federal District (1/2),Far Eastern Federal District (1/2)1
Дальневосточный федеральный округ (1/2),2,Дальневосточный федеральный округ (1/2)2,Дальневосточный федеральный округ,Забайкальский край,431892,6952555,17098265,9,Zabaykalsky Krai,Far Eastern Federal District (1/2),Far Eastern Federal District (1/2)2
Дальневосточный федеральный округ (1/2),3,Дальневосточный федеральный округ (1/2)3,Дальневосточный федеральный округ,Камчатский край,464275,6952555,17098265,8,Kamchatka Krai,Far Eastern Federal District (1/2),Far Eastern Federal District (1/2)3
Дальневосточный федеральный округ (1/2),4,Дальневосточный федеральный округ (1/2)4,Дальневосточный федеральный округ,Магаданская область,462464,6952555,17098265,7,Magadan Oblast,Far Eastern Federal District (1/2),Far Eastern Federal District (1/2)4
Дальневосточный федеральный округ (1/2),5,Дальневосточный федеральный округ (1/2)5,Дальневосточный федеральный округ,Приморский край,164673,6952555,17098265,12,Primorsky Krai,Far Eastern Federal District (1/2),Far Eastern Federal District (1/2)5
0,0,0,0,0,0,0,0,0,Not yet ✖,Far Eastern Federal District (1/2),0
Дальневосточный федеральный округ (2/2),0,Дальневосточный федеральный округ (2/2)0,Дальневосточный федеральный округ,Республика Бурятия,351334,6952555,17098265,10,Republic of Buryatia,Far Eastern Federal District (2/2),Far Eastern Federal District (2/2)0
Дальневосточный федеральный округ (2/2),1,Дальневосточный федеральный округ (2/2)1,Дальневосточный федеральный округ,Республика Саха (Якутия),3083523,6952555,17098265,67,Sakha (Yakutia) Republic,Far Eastern Federal District (2/2),Far Eastern Federal District (2/2)1
Дальневосточный федеральный округ (2/2),2,Дальневосточный федеральный округ (2/2)2,Дальневосточный федеральный округ,Сахалинская область,87101,6952555,17098265,11,Sakhalin Oblast,Far Eastern Federal District (2/2),Far Eastern Federal District (2/2)2
Дальневосточный федеральный округ (2/2),3,Дальневосточный федеральный округ (2/2)3,Дальневосточный федеральный округ,Хабаровский край,787633,6952555,17098265,79,Khabarovsk Krai,Far Eastern Federal District (2/2),Far Eastern Federal District (2/2)3
Дальневосточный федеральный округ (2/2),4,Дальневосточный федеральный округ (2/2)4,Дальневосточный федеральный округ,Чукотский автономный округ,721481,6952555,17098265,68,Chukotka Autonomous Okrug,Far Eastern Federal District (2/2),Far Eastern Federal District (2/2)4
0,0,0,0,0,0,0,0,0,Not yet ✖,Far Eastern Federal District (2/2),0
Приволжский федеральный округ (1/2),0,Приволжский федеральный округ (1/2)0,Приволжский федеральный округ,Кировская область,120374,1036975,17098265,52,Kirov Oblast,Volga Federal District (1/2),Volga Federal District (1/2)0
Приволжский федеральный округ (1/2),1,Приволжский федеральный округ (1/2)1,Приволжский федеральный округ,Нижегородская область,76624,1036975,17098265,62,Nizhny Novgorod Oblast,Volga Federal District (1/2),Volga Federal District (1/2)1
Приволжский федеральный округ (1/2),2,Приволжский федеральный округ (1/2)2,Приволжский федеральный округ,Оренбургская область,123702,1036975,17098265,30,Orenburg Oblast,Volga Federal District (1/2),Volga Federal District (1/2)2
Приволжский федеральный округ (1/2),3,Приволжский федеральный округ (1/2)3,Приволжский федеральный округ,Пензенская область,43352,1036975,17098265,28,Penza Oblast,Volga Federal District (1/2),Volga Federal District (1/2)3
Приволжский федеральный округ (1/2),4,Приволжский федеральный округ (1/2)4,Приволжский федеральный округ,Пермский край,160236,1036975,17098265,56,Perm Krai,Volga Federal District (1/2),Volga Federal District (1/2)4
Приволжский федеральный округ (1/2),5,Приволжский федеральный округ (1/2)5,Приволжский федеральный округ,Республика Башкортостан,142947,1036975,17098265,61,Republic of Bashkortostan,Volga Federal District (1/2),Volga Federal District (1/2)5
Приволжский федеральный округ (1/2),6,Приволжский федеральный округ (1/2)6,Приволжский федеральный округ,Республика Марий Эл,23375,1036975,17098265,60,Mari El Republic,Volga Federal District (1/2),Volga Federal District (1/2)6
0,0,0,0,0,0,0,0,0,Not yet ✖,Volga Federal District (1/2),0
Приволжский федеральный округ (2/2),0,Приволжский федеральный округ (2/2)0,Приволжский федеральный округ,Республика Мордовия,26128,1036975,17098265,48,Republic of Mordovia,Volga Federal District (2/2),Volga Federal District (2/2)0
Приволжский федеральный округ (2/2),1,Приволжский федеральный округ (2/2)1,Приволжский федеральный округ,Республика Татарстан,67847,1036975,17098265,50,Republic of Tatarstan,Volga Federal District (2/2),Volga Federal District (2/2)1
Приволжский федеральный округ (2/2),2,Приволжский федеральный округ (2/2)2,Приволжский федеральный округ,Самарская область,53565,1036975,17098265,31,Samara Oblast,Volga Federal District (2/2),Volga Federal District (2/2)2
